"id";"id_bidang";"id_kategori";"kode";"nama";"skor";"created_at";"updated_at";"created_by";"updated_by"
53;2;4;"2D6";"Lainnya";5.0;"2024-12-07 06:38:37";"2024-12-07 06:38:37";4;0
54;3;1;"3A1";"Tanda Jasa";50.0;"2024-12-07 06:45:49";"2024-12-07 06:45:49";4;0
55;3;1;"3A2";"Grand Final, Peraih medali emas berdasarkan nilai terbatas";30.0;"2024-12-07 06:46:42";"2024-12-07 06:46:42";4;0
56;3;1;"3A3";"Grand Final, Peraih medali perak berdasarkan nilai terbatas";25.0;"2024-12-07 06:47:45";"2024-12-07 06:47:45";4;0
57;3;1;"3A4";"Grand Final, Peraih medali perunggu berdasarkan nilai terbatas";20.0;"2024-12-07 06:48:17";"2024-12-07 06:48:17";4;0
58;3;1;"3A5";"Piagam Partisipasi";10.0;"2024-12-07 06:48:53";"2024-12-07 06:48:53";4;0
59;3;1;"3A6";"Penerima Hibah Kompetisi";10.0;"2024-12-07 06:50:22";"2024-12-07 06:50:22";4;0
60;3;1;"3A7";"Lainnya";10.0;"2024-12-07 06:50:52";"2024-12-07 06:50:52";4;0
61;3;1;"3B1";"Tanda Jasa";40.0;"2024-12-07 06:51:30";"2024-12-07 06:51:30";4;0
62;3;2;"3B2";"Grand Final, Peraih medali emas berdasarkan nilai terbatas";20.0;"2024-12-07 07:00:06";"2024-12-07 07:00:06";4;0
63;3;2;"3B3";"Grand Final, Peraih medali perak berdasarkan nilai terbatas";15.0;"2024-12-07 07:00:36";"2024-12-07 07:00:36";4;0
64;3;2;"3B4";"Grand Final, Peraih medali perunggu berdasarkan nilai terbatas";10.0;"2024-12-07 07:01:41";"2024-12-07 07:01:41";4;0
65;3;2;"3B5";"Piagam Partisipasi";5.0;"2024-12-07 07:02:21";"2024-12-07 07:02:21";4;0
66;3;2;"3B6";"Penerima Hibah Kompetisi";5.0;"2024-12-07 07:02:55";"2024-12-07 07:02:55";4;0
67;3;2;"3B7";"Lainnya";5.0;"2024-12-07 07:04:01";"2024-12-07 07:04:01";4;0
68;3;3;"3C1";"Tanda Jasa";30.0;"2024-12-07 07:04:41";"2024-12-07 07:04:41";4;0
69;3;3;"3C2";"Grand Final, Peraih medali emas berdasarkan nilai terbatas";10.0;"2024-12-07 07:05:23";"2024-12-07 07:05:23";4;0
70;3;3;"3C3";"Grand Final, Peraih medali perak berdasarkan nilai terbatas";7.0;"2024-12-07 07:06:05";"2024-12-07 07:06:05";4;0
71;3;3;"3C4";"Grand Final, Peraih medali perunggu berdasarkan nilai terbatas";5.0;"2024-12-07 07:06:39";"2024-12-07 07:06:39";4;0
72;3;3;"3C5";"Piagam Partisipasi";3.0;"2024-12-07 07:07:12";"2024-12-07 07:07:12";4;0
73;3;3;"3C6";"Penerima Hibah Kompetisi";3.0;"2024-12-07 07:07:52";"2024-12-07 07:07:52";4;0
74;3;3;"3C7";"Lainnya";3.0;"2024-12-07 07:08:13";"2024-12-07 07:08:13";4;0
75;3;4;"3D1";"Tanda Jasa";20.0;"2024-12-07 07:08:57";"2024-12-07 07:08:57";4;0
76;3;4;"3D2";"Grand Final, Peraih medali emas berdasarkan nilai terbatas";5.0;"2024-12-07 07:09:23";"2024-12-07 07:09:23";4;0
77;3;4;"3D3";"Grand Final, Peraih medali perak berdasarkan nilai terbatas";3.0;"2024-12-07 07:09:53";"2024-12-07 07:09:53";4;0
78;3;4;"3D4";"Grand Final, Peraih medali perunggu berdasarkan nilai terbatas";2.0;"2024-12-07 07:10:21";"2024-12-07 07:10:21";4;0
79;3;4;"3D5";"Piagam Partisipasi";1.0;"2024-12-07 07:10:52";"2024-12-07 07:10:52";4;0
80;3;4;"3D6";"Penerima Hibah Kompetisi";1.0;"2024-12-07 07:11:26";"2024-12-07 07:11:26";4;0
81;3;4;"3D7";"Lainnya";1.0;"2024-12-07 07:11:44";"2024-12-07 07:11:44";4;0
82;4;1;"4A1";"Ketua";50.0;"2024-12-07 07:15:36";"2024-12-07 07:15:36";4;0
83;4;1;"4A2";"Wakil Ketua";45.0;"2024-12-07 07:16:14";"2024-12-07 07:16:14";4;0
84;4;1;"4A3";"Sekretaris";40.0;"2024-12-07 07:16:56";"2024-12-07 07:16:56";4;0
85;4;1;"4A4";"Bendahara";40.0;"2024-12-07 07:17:20";"2024-12-07 07:17:20";4;0
86;4;1;"4A5";"Satu Tingkat Dibawah Pengurus Harian";30.0;"2024-12-07 07:18:03";"2024-12-07 07:18:03";4;0
87;4;2;"4B1";"Ketua";40.0;"2024-12-07 07:18:31";"2024-12-07 07:18:31";4;0
88;4;2;"4B2";"Wakil Ketua";35.0;"2024-12-07 07:19:17";"2024-12-07 07:19:17";4;0
89;4;2;"4B3";"Sekretaris";30.0;"2024-12-07 07:20:01";"2024-12-07 07:20:01";4;0
90;4;2;"4B4";"Bendahara";30.0;"2024-12-07 07:20:40";"2024-12-07 07:20:40";4;0
91;4;2;"4B5";"Satu Tingkat Dibawah Pengurus Harian";20.0;"2024-12-07 07:21:10";"2024-12-07 07:21:10";4;0
92;4;3;"4C1";"Ketua";30.0;"2024-12-07 07:21:33";"2024-12-07 07:21:33";4;0
